,player_id,player_name,games_played,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0000552,O.Ayanbadejo,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8538377340883017,0.0,0.0,0.2,1.2
0,00-0000627,E.Baker,3,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,118.0,0.0,0.0,0.0,0.0,0.0,5.0,3.616422852355919,0.0,0.0,11.8,18.8
0,00-0000721,T.Banks,8,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,82.0,0.0,0.0,0.0,3.0,-5.873751844628714,0.0,14.0,19.0,137.0,0.0,0.0,0.0,0.0,0.0,6.0,4.473213095074907,0.0,0.0,21.9,35.9
0,00-0000722,T.Banks,11,1999,167.0,318.0,2093.0,16.0,8.0,33.0,190.0,9.0,5.0,0.0,0.0,92.0,-31.461387510668583,0.0,0.8954039327555733,24.0,93.0,0.0,2.0,1.0,8.0,-5.022199896049642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.02,129.02
0,00-0000745,T.Barber,16,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,253.0,0.0,1.0,0.0,11.0,-1.3893792524311734,0.0,66.0,91.0,609.0,2.0,1.0,0.0,0.0,0.0,32.0,6.4154542198350155,0.0,1.0,104.2,170.2
0,00-0000754,B.Barker,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,-2.56374244322069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001
0,00-0000765,R.Barlow,11,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,202.0,0.0,1.0,1.0,0.0,0.0,10.0,-6.491849066986018,0.0,1.0,24.200000000000003,40.199999999999996
0,00-0000811,T.Barnhardt,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,-1.778794995858334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
0,00-0000849,M.Bartrum,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.81739354779711,0.0,0.0,6.1,7.1
0,00-0000856,M.Basnight,12,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,305.0,0.0,1.0,0.0,12.0,-12.932888907035245,0.0,16.0,19.0,172.0,0.0,0.0,0.0,0.0,0.0,4.0,6.226041749119759,0.0,0.0,47.699999999999996,63.699999999999996
